관광지명,주소,장애인 화장실,장애인용 엘리베이터,장애인 전용 주차구역,주출입구 단차없음,지하철 접근가능,저상버스 접근가능,휠체어 대여,시각장애인 편의서비스,청각장애인 편의서비스,수유실,장애인 객실,유모차 대여,0
광주호 호수생태원,광주 북구,1,0,1,1,0,0,1,1,0,0,0,1,1
국립광주박물관,광주 북구,1,1,1,1,0,0,1,1,0,1,0,1,1
광주시립미술관,광주 북구,1,1,1,1,0,0,1,1,0,1,0,1,1
광주 우치공원 동물원,광주 북구,1,0,1,1,0,0,1,0,0,1,0,0,1
국립광주과학관,광주 북구,1,1,1,1,1,1,1,1,0,1,0,1,1
영산강문화관,광주 남구,1,1,1,1,0,0,1,1,0,0,0,1,1
김대중컨벤션센터,광주 서구,1,1,1,1,1,1,1,0,0,1,0,1,1
광주호,광주 북구,1,0,1,1,0,0,1,0,0,0,0,1,1
국립 5.18 민주묘지,광주 북구,1,0,1,1,0,0,1,1,0,0,0,1,1
광주패밀리랜드,광주 북구,1,0,1,0,0,0,1,0,0,0,0,1,1
광주문화예술회관,광주 북구,1,1,1,1,1,1,1,1,0,1,0,0,1
롯데아울렛 광주월드컵점,광주 서구,1,1,1,1,0,0,1,1,0,1,0,1,1
편백숲 우드랜드,전남 장흥군,1,0,1,1,0,0,1,1,0,0,0,1,1
목포어린이바다과학관,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1,1
불갑사 관광지,전남 영광군,1,0,1,1,0,0,1,0,0,0,0,1,1
순천 낙안읍성,전남 순천시,1,0,1,1,0,0,1,0,0,0,0,1,1
한국대나무박물관,전남 담양군,1,1,1,1,0,0,1,1,0,0,0,1,1
함평엑스포공원,전남 함평군,1,0,1,1,0,0,1,1,0,1,0,1,1
국립나주박물관,전남 나주시,1,1,1,1,0,0,1,1,0,1,0,1,1
영광노을전시관,전남 영광군,1,1,1,1,0,0,1,0,0,0,0,1,1
순천만 자연생태관,전남 순천시,1,1,1,1,0,0,1,1,0,1,0,1,1
국립해양문화재연구소,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1,1
순천시립 뿌리깊은나무 박물관,전남 순천시,1,1,1,1,0,0,1,1,0,0,0,1,1
김대중 노벨평화상기념관,전남 목포시,1,1,1,1,0,0,1,1,0,1,0,0,1
다산기념관,전남 강진군,1,1,1,1,0,0,1,1,0,0,0,1,1
무안황토갯벌랜드(구 무안생태갯벌센터),전남 무안군,1,0,1,1,0,0,1,0,0,0,0,1,1
목포자연사박물관,전남 목포시,1,1,1,1,0,0,1,1,0,0,0,1,1
영암도기박물관,전남 영암군,1,1,1,1,0,0,1,1,0,0,0,1,1
정남진물과학관,전남 장흥군,1,1,1,1,0,0,1,1,0,0,0,1,1
여수 해상케이블카,전남 여수시,1,1,1,1,0,0,1,1,0,1,0,0,1
순천시생태관광체험학습센터,전남 순천시,1,1,1,1,0,0,1,1,0,1,0,1,1
정남진천문과학관,전남 장흥군,1,1,1,1,0,0,1,1,0,0,0,1,1
완도어촌민속전시관,전남 완도군,1,1,1,1,0,0,1,1,0,0,0,1,1
한마음공원,전남 영광군,1,0,1,1,0,0,1,0,0,1,0,1,1
섬진강어류생태관,전남 구례군,1,1,1,1,0,0,1,1,0,0,0,1,1
아쿠아플라넷 여수,전남 여수시,1,1,1,1,0,0,1,0,0,1,0,1,1
섬진강기차마을,전남 곡성군,1,0,1,1,0,0,1,1,0,1,0,0,1
나로우주센터 우주과학관,전남 고흥군,1,1,1,1,0,0,1,0,0,1,0,1,1
